date,open,high,low,close,volume,ROC,SMA,RSI,Real Middle Band,Real Lower Band,Real Upper Band
2023-07-14 12:45:00,347.42,347.48,346.51,347.05,490842.0,-0.5017,348.494,48.5391,348.494,347.06089716624206,349.927102833758
2023-07-14 13:00:00,347.025,347.06,345.57,346.43,664296.0,-0.7364,348.3655,45.6025,348.3655,347.05357240118843,349.67742759881156
2023-07-14 13:15:00,346.45,346.824,346.07,346.68,441976.0,-0.7754,348.23,46.9644,348.23,346.9501460376767,349.50985396232335
2023-07-14 13:30:00,346.67,346.92,346.22,346.26,370419.0,-0.5572,348.133,44.9733,348.133,346.93595818275065,349.3300418172493
2023-07-14 13:45:00,346.275,346.68,346.131,346.28,364508.0,-0.4657,348.052,45.09,348.052,346.9485003194416,349.1554996805584
2023-07-14 14:00:00,346.29,347.05,346.21,346.94,422619.0,-0.2473,348.009,48.8574,348.009,346.98754334262907,349.03045665737096
2023-07-14 14:15:00,346.92,346.98,346.07,346.13,432543.0,-0.3942,347.9405,44.8795,347.9405,347.1208195916129,348.7601804083871
2023-07-14 14:30:00,346.15,346.42,345.71,346.205,510982.0,-0.2435,347.8983,45.3134,347.8983,347.0147571741506,348.7818428258494
2023-07-14 14:45:00,346.23,346.529,345.215,345.215,424981.0,-0.7004,347.7765,40.8452,347.7765,346.73100566773707,348.82199433226293
2023-07-14 15:00:00,345.219,345.45,344.61,345.41,1016218.0,-1.0686,347.59,42.0304,347.59,346.3567003532488,348.82329964675114
2023-07-14 15:15:00,345.43,345.61,344.56,345.13,622847.0,-1.5265,347.3225,40.795,347.3225,345.77680130260774,348.86819869739224
2023-07-14 15:30:00,345.16,345.21,344.62,344.65,642469.0,-1.3171,347.0925,38.7402,347.0925,345.346285803896,348.8387141961039
2023-07-14 15:45:00,344.66,345.42,344.31,345.37,1749358.0,-1.2091,346.8812,43.2532,346.8812,344.99457072879216,348.7678292712078
2023-07-14 16:00:00,345.38,347.388,344.87,345.052,5714014.0,-1.1774,346.6756,41.8208,346.6756,344.70576756257316,348.6454324374268
2023-07-14 16:15:00,345.08,345.24,344.82,345.0,20557.0,-1.2706,346.4536,41.5838,346.4536,344.41614838224405,348.49105161775594
2023-07-14 16:30:00,345.02,345.24,344.9,345.02,23485.0,-1.197,346.2446,41.7175,346.2446,344.2486695215482,348.2405304784518
2023-07-14 16:45:00,345.12,345.24,344.95,344.99,135647.0,-1.2396,346.0281,41.5673,346.0281,344.09187264518107,347.9643273548189
2023-07-14 17:00:00,345.01,345.24,344.95,345.19,59631.0,-0.7761,345.8931,43.0078,345.8931,344.02406708373996,347.76213291626004
2023-07-14 17:15:00,345.19,345.24,345.02,345.09,85960.0,-0.6707,345.7766,42.4569,345.7766,343.97630268343585,347.5768973165641
2023-07-14 17:30:00,345.09,345.189,344.95,345.189,1142.0,-0.6479,345.664,43.2149,345.664,343.94007226106186,347.3879277389381
2023-07-14 17:45:00,345.15,345.2,345.0,345.19,976.0,-0.5359,345.571,43.2229,345.571,343.9269125604977,347.2150874395023
2023-07-14 18:00:00,345.0,345.24,345.0,345.1,1475.0,-0.3839,345.5046,42.6569,345.5046,343.9438125619234,347.0653874380766
2023-07-14 18:15:00,345.1,345.4,345.1,345.36,4607.0,-0.3808,345.4385,44.8527,345.4385,343.99221664065703,346.8847833593429
2023-07-14 18:30:00,345.29,345.5,345.27,345.5,4701.0,-0.2195,345.4005,46.0241,345.4005,344.054976297108,346.74602370289205
2023-07-14 18:45:00,345.5,345.99,345.28,345.8,3553.0,-0.1386,345.3765,48.4921,345.3765,344.1026013930555,346.6503986069445
2023-07-14 19:00:00,345.99,345.99,345.35,345.7,1601.0,-0.3574,345.3145,47.7264,345.3145,344.0471744096314,346.5818255903686
2023-07-14 19:15:00,345.7,347.6,345.5,346.75,14554.0,0.1791,345.3455,55.4938,345.3455,344.1156162038619,346.5753837961381
2023-07-14 19:30:00,347.0,347.0,346.4,346.99,8017.0,0.2267,345.3848,57.0301,345.3848,344.09661052029253,346.67298947970744
2023-07-14 19:45:00,346.91,347.0,346.6,346.99,13445.0,0.5142,345.4735,57.0301,345.4735,344.1081467436679,346.83885325633213
2023-07-17 04:00:00,348.51,349.57,345.71,347.43,14488.0,0.5848,345.5745,59.8456,345.5745,344.22261241558607,346.92638758441393
2023-07-17 04:15:00,347.29,347.88,347.0,347.55,5111.0,0.7012,345.6955,60.587,345.6955,344.39561110013034,346.9953888998696
2023-07-17 04:30:00,347.55,347.89,347.4,347.42,1156.0,0.8037,345.834,59.3377,345.834,344.6425715316144,347.0254284683856
2023-07-17 04:45:00,347.66,347.71,347.05,347.39,2838.0,0.5849,345.935,59.0419,345.935,344.91587020553305,346.95412979446695
2023-07-17 05:00:00,347.3,347.45,346.69,347.25,3080.0,0.637,346.045,57.6309,346.045,344.6639471619522,347.42605283804784
2023-07-17 05:15:00,347.24,347.31,346.12,346.26,2329.0,0.3652,346.108,48.9274,346.108,344.64129073627805,347.57470926372196
2023-07-17 05:30:00,346.63,346.63,346.0,346.13,4251.0,0.3217,346.1635,47.9269,346.1635,344.576972120191,347.750027879809
2023-07-17 05:45:00,346.52,346.52,345.65,345.9,2893.0,0.2638,346.209,46.1687,346.209,344.54398627230535,347.87401372769466
2023-07-17 06:00:00,345.79,346.37,345.79,346.36,379.0,0.3389,346.2675,50.0281,346.2675,344.5534154285478,347.9815845714522
2023-07-17 06:15:00,346.47,346.51,345.75,345.85,1965.0,0.2202,346.3055,46.1654,346.3055,344.61778001443673,347.99321998556326
2023-07-17 06:30:00,346.0,346.22,345.71,345.76,1795.0,0.1654,346.334,45.5127,346.334,344.66861450084946,347.99938549915055
2023-07-17 06:45:00,345.9,346.12,345.52,345.99,5649.0,0.2318,346.374,47.5092,346.374,344.72426042141336,348.0237395785867
2023-07-17 07:00:00,345.87,346.66,345.56,346.56,11428.0,0.4231,346.447,52.089,346.447,344.805591854368,348.088408145632
2023-07-17 07:15:00,346.59,346.62,346.01,346.25,10551.0,0.2577,346.4915,49.611,346.4915,344.86233018882416,348.1206698111758
2023-07-17 07:30:00,346.23,346.25,345.73,345.99,9907.0,0.1418,346.516,47.6113,346.516,344.939790725457,348.09220927454305
2023-07-17 07:45:00,345.9,346.05,345.51,345.66,6424.0,-0.0405,346.509,45.1784,346.509,344.96183558222305,348.056164417777
2023-07-17 08:00:00,346.0,348.51,344.5,345.02,33208.0,-0.1967,346.475,40.9107,346.475,344.9188843967356,348.0311156032644
2023-07-17 08:15:00,345.18,346.218,345.09,345.67,8367.0,-0.3115,346.421,46.3307,346.421,344.8704200126925,347.9715799873075
2023-07-17 08:30:00,345.5,345.91,345.02,345.257,11417.0,-0.4994,346.3344,43.6527,346.3344,344.7733609188659,347.89543908113416
2023-07-17 08:45:00,345.23,349.8,344.84,345.16,11982.0,-0.5274,346.2429,43.0377,346.2429,344.6696984280686,347.8161015719314
2023-07-17 09:00:00,345.2,345.8,345.0,345.45,15275.0,-0.5699,346.1439,45.4561,346.1439,344.63913090152386,347.6486690984761
2023-07-17 09:15:00,345.52,346.74,344.52,346.02,41613.0,-0.4402,346.0674,49.8604,346.0674,344.48162277806017,347.65317722193987
2023-07-17 09:30:00,345.678,346.99,345.08,345.08,1529842.0,-0.6735,345.9504,43.7306,345.9504,344.31148007504027,347.58931992495974
2023-07-17 09:45:00,345.14,345.14,342.2,343.35,1596232.0,-1.163,345.7484,35.3188,345.7484,344.1115534525664,347.3852465474336
2023-07-17 10:00:00,343.41,345.12,343.01,344.37,883035.0,-0.8294,345.6044,42.217,345.6044,344.2055149452321,347.0032850547679
2023-07-17 10:15:00,344.34,344.73,343.815,343.87,570713.0,-0.6902,345.4849,40.0149,345.4849,344.21967526949754,346.7501247305024
2023-07-17 10:30:00,343.85,345.09,343.7,344.17,551705.0,-0.5663,345.3869,41.928,345.3869,344.288837453732,346.48496254626804
2023-07-17 10:45:00,344.16,344.97,343.58,344.92,585080.0,-0.2833,345.3379,46.4245,345.3379,344.42235430201066,346.2534456979893
2023-07-17 11:00:00,344.96,345.47,344.63,345.307,597647.0,-0.304,345.2852,48.5867,345.2852,344.5548270151242,346.01557298487575
2023-07-17 11:15:00,345.34,345.51,344.74,345.305,460894.0,-0.1576,345.258,48.5761,345.258,344.5437160335303,345.97228396646966
2023-07-17 11:30:00,345.32,345.98,345.027,345.62,460905.0,-0.0405,345.251,50.3817,345.251,344.5297494778166,345.97225052218334
2023-07-17 11:45:00,345.61,345.99,345.3,345.9,408176.0,-0.026,345.2465,51.9601,345.2465,344.4859351476059,346.00706485239414
2023-07-17 12:00:00,345.94,346.49,345.75,346.205,471031.0,-0.1024,345.2287,53.6506,345.2287,344.37328260318856,346.08411739681145
2023-07-17 12:15:00,346.205,346.28,345.252,345.48,304132.0,-0.2224,345.1902,49.3089,345.1902,341.4620398970566,348.9183601029434
2023-07-17 12:30:00,345.45,345.69,345.16,345.64,334056.0,-0.1012,345.1727,50.2443,345.1727,341.3618162075584,348.98358379244166
2023-07-17 12:45:00,345.66,346.07,345.63,345.91,225366.0,0.0723,345.1852,51.8234,345.1852,341.3753667725457,348.9950332274543
2023-07-17 13:00:00,345.92,346.17,345.7,345.98,273031.0,0.2782,345.2332,52.2371,345.2332,341.43236982845264,349.0340301715474
2023-07-17 13:15:00,345.99,346.06,345.64,345.8,260467.0,0.0376,345.2397,51.0505,345.2397,341.45220268191974,349.0271973180803
2023-07-17 13:30:00,345.8,345.955,345.6,345.69,285531.0,0.1254,345.2614,50.3153,345.2614,341.4840408178986,349.0387591821014
2023-07-17 13:45:00,345.7,346.37,345.7,346.3,350980.0,0.3303,345.3184,54.1682,345.3184,341.5476460959854,349.0891539040146
2023-07-17 14:00:00,346.3,346.6,346.219,346.44,329359.0,0.2866,345.3679,55.011,345.3679,341.6229113423967,349.1128886576033
2023-07-17 14:15:00,346.45,346.67,346.13,346.25,400194.0,0.0665,345.3794,53.6028,345.3794,341.68532059280926,349.0734794071907
2023-07-17 14:30:00,346.23,346.25,345.345,345.4,407108.0,0.0927,345.3954,47.8363,345.3954,341.7553792462565,349.0354207537435
2023-07-17 14:45:00,345.395,345.478,345.16,345.226,356067.0,0.5464,345.4892,46.7525,345.4892,341.86444147931235,349.1139585206876
2023-07-17 15:00:00,345.23,345.4,344.98,345.35,371736.0,0.2846,345.5382,47.6424,345.5382,341.91761183108974,349.1587881689103
2023-07-17 15:15:00,345.33,346.34,345.32,346.2,760353.0,0.6776,345.6547,53.2764,345.6547,342.0361346322842,349.2732653677158
2023-07-17 15:30:00,346.19,346.203,345.43,345.49,601131.0,0.3835,345.7207,48.6714,345.7207,342.1296751810581,349.31172481894197
